Doctor Doom	0		When Doctor Doom enters, create two 3/3 colorless Robot Villain artifact creature tokens named Doombot. / As long as you control an artifact creature or a Plan, Doctor Doom has indestructible. / At the beginning of your end step, you draw a card and lose 1 life.
Whiplash, Vengeful Engineer	1	Swallow:Condition_If	Whiplash enters tapped. / Whenever Whiplash attacks, if he's equipped, each opponent loses X life and you gain X life, where X is the number of Equipment attached to him.
Winter Soldier, Icy Assassin	1	Swallow:DynamicQty	Vigilance, menace / Winter Soldier gets +2/+0 for each Equipment attached to him. / {3}{W}{B}: Return this card from your graveyard to the battlefield with a finality counter on him. Then you may attach an Equipment you control to him. (If a creature with a finality counter on it would die, exile it instead.)
Klaw, Sonic Subjugator	1	Swallow:DynamicQty	Sonic Attack — When Klaw enters, target player reveals a number of cards from their hand equal to one plus the number of creature cards in your graveyard. You choose one of them. That player discards that card.
The Incredible Hulk	1	Swallow:Condition_If	Reach, trample / Enrage — Whenever The Incredible Hulk is dealt damage, put a +1/+1 counter on him. If he's attacking, untap him and there is an additional combat phase after this phase.
Cosmic Cube	1	Swallow:DynamicQty	Ward {2} / Whenever you attack, look at the top six cards of your library. You may cast a spell from among them with mana value less than or equal to the greatest power among attacking creatures you control without paying its mana cost. Put the rest on the bottom of your library in a random order.
Black Widow, Super Spy	1	Swallow:Duration_UntilEndOfTurn	Menace / Whenever Black Widow deals combat damage to a player, that player exiles cards from the top of their library until they exile a nonland card. You may put a +1/+1 counter on Black Widow. If you don't, you may cast the exiled nonland card until end of turn and mana of any type can be spent to cast that spell.
Hulkling, Burgeoning Bruiser	1	Swallow:Condition_If	Vigilance / Whenever another creature you control enters, if it has greater power or toughness than Hulkling, put a +1/+1 counter on Hulkling.
Hawkeye, Master Marksman	0		First strike, reach / Trick Arrows — Whenever Hawkeye becomes tapped, you may pay {1} up to three times. When you do, choose up to that many. / • Net — Target creature can't block this turn. / • Explosive — Hawkeye deals 2 damage to target player. / • Boomerang — Discard a card, then draw a card.
Hawkeye, Young Avenger	1	Swallow:DynamicQty	Reach / If a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, instead it deals that much damage plus X, where X is Hawkeye's power.
Loki, God of Mischief	1	Trigger:Whenever a player or permanent becomes the target of an ability you control	Whenever a player or permanent becomes the target of an ability you control, draw a card. This ability triggers only once each turn.
The Ruinous Wrecking Crew	0		The Ruinous Wrecking Crew enters with X +1/+1 counters on it. / When The Ruinous Wrecking Crew enters, choose up to X — / • Discard a card, then draw a card. / • Target opponent loses 2 life. / • Destroy target token. / • Each player sacrifices a creature of their choice.
Baron Helmut Zemo	1	ParseWarning:target-fallback	Whenever you cast a black spell from your hand, Baron Helmut Zemo connives. / Boast — Exile any number of black cards from your graveyard with fifteen or more black mana symbols among their mana costs: Copy those exiled cards. You may cast up to three of the copies without paying their mana costs. (Activate only if this creature attacked this turn and only once each turn.)
